date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted,GDP_dollar,GDP_local
1/1/2022,MEX,MXN,Mexico,69,20.649,3.341566178,-0.33699,-0.32559,-0.30623,-0.01274,-0.12827,14866.27501,3.518401237,-0.12059,-0.21917,-0.16751,0.22987,-0.11991,10039.576,203526.384
1/1/2022,MYS,MYR,Malaysia,9.99,4.1855,2.386811612,-0.52643,-0.51828,-0.50445,-0.29482,-0.37734,23824.36,3.707627394,-0.40391,-0.47073,-0.43572,-0.16636,-0.40346,11399.123,47223.285
1/1/2022,NIC,NIO,Nicaragua,134,35.455,3.779438725,-0.25011,-0.23722,-0.21532,0.11663,-0.01404,2882.993362,3.265272322,0.07175,-0.04839,0.01457,0.49887,0.07258,2177.478,76651.014
1/1/2022,NOR,NOK,Norway,57,8.91605,6.392965495,0.26845,0.29025,0.3273,0.88879,0.66776,67667.12055,4.633740186,0.27749,0.13429,0.20932,0.7866,0.27847,89089.978,765282.911
1/1/2022,NZL,NZD,New Zealand,7,1.52264941,4.59725,-0.08785,-0.07217,-0.04553,0.35825,0.19931,49277.70144,4.245291191,0.00272,-0.10969,-0.05079,0.40232,0.00349,48424.147,68441.252
1/1/2022,OMN,OMR,Oman,1.15,0.385,2.987012987,-0.40734,-0.39715,-0.37984,-0.11749,-0.22076,30835.40807,3.855725307,-0.28267,-0.36308,-0.32095,0.0032,-0.28212,18298.718,7035.857
1/1/2022,PAK,PKR,Pakistan,590,176.52,3.342397462,-0.33683,-0.32543,-0.30606,-0.01249,-0.12805,2129.472448,3.249355319,-0.04754,-0.1543,-0.09836,0.33204,-0.04681,1562.258,249283.481
1/1/2022,PER,PEN,Peru,12.9,3.83735,3.36169492,-0.333,-0.32153,-0.30205,-0.00679,-0.12302,10070.71898,3.417102283,-0.08906,-0.19118,-0.13767,0.27396,-0.08836,6643.005,25776.245
1/1/2022,PHL,PHP,Philippines,142,50.975,2.785679255,-0.44729,-0.43778,-0.42164,-0.17697,-0.27329,6244.187146,3.336272517,-0.22686,-0.31353,-0.26812,0.08125,-0.22627,3571.798,175927.495
1/1/2022,POL,PLN,Poland,14.08,4.094,3.439179287,-0.31762,-0.30589,-0.28596,0.0161,-0.1028,24624.57876,3.72453082,-0.14499,-0.24083,-0.19061,0.19575,-0.14433,17815.192,68792.474
